Day,Group,Metric,Unit,Amount
2026-04-05,Uncategorized,"Weight",lbs,147.0
2026-04-12,Uncategorized,"Weight",lbs,151.2
2026-04-17,Lunch,"Weight",lbs,150.6
2026-04-19,Uncategorized,"Weight",lbs,146.6
2026-04-22,Uncategorized,"Weight",lbs,147.4
2026-04-23,Uncategorized,"Weight",lbs,145.5
2026-04-23,Uncategorized,"Weight (Apple Health)",lbs,145.5
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,110.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,71.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,71.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,74.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,74.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,75.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,75.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,78.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,78.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,79.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,79.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,82.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,82.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,87.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,87.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,93.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,93.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,86.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,86.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,86.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,86.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,83.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,83.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,83.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,83.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,82.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,82.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,87.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,87.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,91.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,91.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,92.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,92.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,94.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,94.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,97.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,97.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,93.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,93.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,85.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,85.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,86.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,86.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,77.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,77.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,73.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,73.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,73.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,73.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,75.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,75.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,77.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,77.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,77.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,77.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,74.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,74.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,73.0
