Date,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (Âµg),Folate (Âµg),Vitamin A (Âµg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (Âµg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (Âµg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2026-04-09,2376.24,0.00,236.39,29.13,239.54,2586.70,1.86,1.84,36.17,7.62,3.46,3.33,642.22,805.36,164.40,356.11,8.73,135.41,1177.00,0.70,9.06,271.54,2.09,1618.27,2322.44,97.27,4131.80,7.75,227.62,242.77,14.97,3.27,1.34,78.56,45.94,12.29,86.71,346.86,8.54,4.38,33.04,2.52,0.44,0.39,0.01,0.01,3.61,0.05,3.31,0.87,2.62,3.72,6.43,6.52,1.93,3.34,154.74,3.38,1.00,2.87,4.13,true
2026-04-10,2305.21,30.28,95.00,83.15,567.97,2585.33,3.10,2.86,42.66,9.21,3.85,5.28,918.07,1108.81,170.64,422.28,12.40,189.44,1985.59,0.96,15.93,361.25,3.33,2347.65,3014.97,141.56,2860.74,12.31,219.31,233.47,13.80,5.77,3.37,161.65,42.11,1.84,63.77,286.03,17.20,12.36,23.79,1.19,1.40,1.34,0.01,0.01,10.48,0.04,10.20,1.27,3.41,5.34,9.31,8.00,2.67,5.02,145.42,4.80,1.68,4.31,6.03,true
2026-04-11,1725.55,0.00,95.00,36.51,276.23,2951.80,1.43,1.24,10.38,2.84,1.28,2.06,564.14,717.44,97.57,247.68,5.79,42.94,1148.64,0.87,8.80,202.24,2.35,1138.38,1174.85,42.94,1495.67,7.05,172.97,192.58,19.46,6.99,4.10,60.42,30.15,1.02,53.24,52.70,4.06,3.39,8.16,0.38,0.28,0.24,0.00,0.00,2.76,0.00,2.67,0.37,0.76,1.40,2.38,1.59,0.56,1.51,114.32,1.22,0.50,1.09,1.54,true
2026-04-12,3104.02,0.00,125.68,119.22,490.08,2932.93,1.69,1.95,20.83,4.16,1.18,4.88,365.26,498.61,52.74,143.99,6.57,42.37,1531.62,0.67,22.63,188.80,1.65,1322.82,4698.06,102.12,5683.57,10.60,307.81,336.29,27.91,6.12,3.50,96.57,84.88,33.43,121.19,489.26,19.97,14.05,38.95,1.67,1.62,1.56,0.01,0.03,11.93,0.12,11.79,0.90,2.17,3.41,6.63,5.30,2.00,3.55,176.47,3.37,1.33,3.14,3.91,true
2026-04-13,2052.96,0.00,95.00,433.74,204.22,3445.23,1.67,2.17,39.18,9.00,4.18,2.94,828.43,1217.76,177.60,330.57,12.80,545.60,1205.18,0.84,16.33,323.55,2.92,1609.97,2645.99,129.80,4020.16,8.43,178.85,193.64,14.54,5.40,1.38,71.42,39.92,1.00,76.97,632.69,14.42,4.56,27.27,0.22,0.42,0.31,0.05,0.01,3.74,0.18,2.83,1.20,3.07,4.48,7.51,7.88,2.36,3.98,143.42,4.06,1.15,3.30,4.92,true
2026-04-14,1957.51,0.00,95.00,415.23,9.54,2646.58,0.81,1.44,5.86,3.23,1.29,2.31,391.68,1820.59,147.36,327.00,18.97,477.76,978.24,0.46,7.18,191.99,1.50,795.09,1178.09,46.32,2892.27,4.82,194.84,208.55,13.66,1.95,0.41,0.84,67.98,49.68,77.08,420.50,7.50,2.17,9.10,0.00,0.21,0.12,0.04,0.01,1.91,0.15,1.25,0.33,0.37,0.85,1.32,1.11,0.45,0.81,112.86,0.74,0.19,0.63,0.95,true
2026-04-15,1972.76,0.00,95.00,418.68,32.53,2951.96,1.86,2.25,35.78,7.32,3.62,2.85,452.38,2005.00,220.38,386.90,21.89,483.34,1182.06,0.60,12.77,277.24,1.70,1379.10,2552.03,105.34,3555.12,6.80,199.57,213.30,13.54,2.90,1.18,0.84,82.44,55.78,62.49,611.30,12.62,3.81,17.81,0.02,0.33,0.16,0.05,0.01,3.22,0.18,2.06,0.95,2.55,3.71,6.14,6.72,1.95,3.19,141.29,3.37,0.94,2.73,3.97,true
2026-04-16,2035.25,0.00,95.00,3.45,22.99,3031.56,1.70,1.49,35.05,5.78,3.24,1.74,274.78,1223.29,211.30,259.90,18.23,35.58,846.82,0.43,6.37,185.81,0.83,1151.61,1755.02,73.11,700.62,4.84,210.21,219.54,9.18,0.96,0.77,0.84,74.14,54.78,61.29,253.30,5.17,1.69,7.79,0.02,0.13,0.05,0.01,0.01,1.36,0.03,0.81,0.62,2.18,2.87,4.85,5.64,1.51,2.39,153.76,2.64,0.75,2.11,3.04,true
2026-04-17,2783.96,161.31,220.68,419.23,31.79,2892.36,1.90,2.45,36.70,7.75,3.64,3.78,437.75,1182.85,128.03,412.49,9.77,481.02,1343.43,0.59,10.76,300.89,1.73,1544.86,2716.38,109.06,3225.45,7.43,146.26,157.35,10.89,2.89,1.14,0.00,37.54,13.48,51.99,631.80,10.40,3.42,15.78,0.21,0.30,0.18,0.05,0.01,2.86,0.19,2.18,0.99,2.71,3.99,6.70,7.20,2.11,3.46,142.16,3.62,1.01,3.00,4.32,true
2026-04-18,2038.45,0.00,220.68,415.78,8.80,2627.33,0.85,1.64,6.78,3.66,1.32,3.23,377.05,998.64,55.01,392.59,6.86,475.44,1187.61,0.44,13.08,215.65,1.54,960.85,1599.78,50.03,3072.28,5.45,153.44,165.87,12.38,1.93,0.38,0.00,46.15,30.14,101.31,448.50,5.28,1.78,13.35,0.19,0.18,0.14,0.04,0.01,1.54,0.16,1.49,0.37,0.53,1.13,1.88,1.59,0.60,1.08,118.06,0.99,0.27,0.90,1.29,true
