Day,Group,Exercise,Minutes,Calories Burned
2026-04-09,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-321.79
2026-04-10,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-579.89
2026-04-11,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-172.39
2026-04-10,Uncategorized,"Basketball",45.0,-435.82
2026-04-11,Uncategorized,"Calisthenics",20.0,-65.34
2026-04-12,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-62.94
2026-04-12,Uncategorized,"HIIT",60.0,-488.75
2026-04-13,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-370.42
2026-04-13,Dinner,"Resistance Training",15.0,-90.02
2026-04-14,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-316.33
2026-04-15,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-393.15
2026-04-16,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-227.07
2026-04-13,Uncategorized,"Resistance Training",60.0,-360.06
2026-04-16,Uncategorized,"Resistance Training",60.0,-360.06
2026-04-17,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-201.92
2026-04-18,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-148.51
2026-04-19,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-582.66
2026-04-20,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-227.70
2026-04-20,Uncategorized,"HIIT",60.0,-230.41
2026-04-21,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-429.85
2026-04-21,Uncategorized,"Resistance Training",60.0,-360.06
2026-04-22,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-407.89
2026-04-22,Breakfast,"Basketball",120.0,-772.23
2026-04-23,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-405.31
2026-04-24,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-227.27
2026-04-24,Uncategorized,"Traditional Strength Training (Apple Health)",53.695046333471936,-230.03
2026-04-25,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-159.58
2026-04-26,Uncategorized,"Traditional Strength Training (Apple Health)",51.08357290029526,-173.50
2026-04-26,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-489.21
2026-04-27,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-369.52
2026-04-27,Uncategorized,"Traditional Strength Training (Apple Health)",37.7932268679142,-157.13
2026-04-28,Uncategorized,"Traditional Strength Training (Apple Health)",71.59985051751137,-401.62
2026-04-28,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-223.02
2026-04-29,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-100.74
2026-04-29,Uncategorized,"Traditional Strength Training (Apple Health)",57.403008631865184,-247.48
2026-04-30,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-111.59
2026-05-01,Uncategorized,"Basketball",30.0,-191.75
2026-05-01,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-321.59
2026-05-02,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-524.52
2026-05-02,Uncategorized,"Manual Labour",15.0,-68.87
2026-05-03,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-394.92
2026-05-04,Uncategorized,"Traditional Strength Training (Apple Health)",27.325986667474112,-154.77
2026-05-04,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-77.86
2026-05-05,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-533.13
2026-05-05,Uncategorized,"Pickleball",80.0,-289.38
2026-05-06,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-61.00
2026-05-06,Uncategorized,"Traditional Strength Training (Apple Health)",82.65616038242976,-336.99
2026-05-07,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-289.13
2026-05-08,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-137.65
2026-05-09,Uncategorized,"Active Energy Balance (Apple Health)",0.0,-49.45
