Day,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (Âµg),Folate (Âµg),Vitamin A (Âµg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (Âµg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (Âµg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2026-04-08,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-08,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-08,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-08,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-08,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-08,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-08,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-08,"Breakfast","Premier Protein, Protein Shake, CafÃ© Latte, 5g Carbs","1.00 x 11.0 fl oz",160.00,,95.00,,,285.30,0.60,0.65,4.80,1.50,0.85,1.20,200.00,230.00,46.00,240.00,3.80,30.00,650.00,0.25,1.80,90.00,0.60,550.00,260.00,14.00,220.00,2.80,3.00,5.00,2.00,,,,1.00,0.00,3.00,20.00,,,1.00,0.00,,,,,,,,,,,,,,,30.00,,,,,"Beverages"
2026-04-08,"Breakfast","Costco Cookie","1.00 43",210.00,,,,,,,,,,,,,,,,,,,,,,,,,,150.00,,30.00,30.00,,,,,13.00,,10.00,,,,5.00,,,,,,,,,,,,,,,,2.00,,,,,""
2026-04-08,"Lunch","Chick-fil-A, Grilled Nuggets","12.00 nugget",174.39,0.00,0.00,0.00,0.00,63.27,0.06,0.11,12.11,0.95,0.58,0.33,3.90,8.77,0.00,4.86,0.26,0.29,15.89,0.05,1.04,26.49,0.02,210.79,240.87,23.83,615.33,1.20,1.32,1.37,0.02,0.00,0.02,1.35,0.00,0.00,4.40,82.88,1.50,0.96,1.24,0.09,0.10,0.04,0.03,0.01,0.80,0.08,0.72,0.39,0.93,1.59,2.26,2.56,0.83,1.20,30.14,1.27,0.35,1.02,1.49,"Fast Foods"
