"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Afternoon workout 💪","May 6, 2026, 5:00 PM","May 6, 2026, 6:23 PM","","Triceps Rope Pushdown",,"Single pulley tower",0,"normal",45,12,,,
"Afternoon workout 💪","May 6, 2026, 5:00 PM","May 6, 2026, 6:23 PM","","Triceps Rope Pushdown",,"Single pulley tower",1,"normal",55,10,,,
"Afternoon workout 💪","May 6, 2026, 5:00 PM","May 6, 2026, 6:23 PM","","Triceps Rope Pushdown",,"Single pulley tower",2,"normal",55,9,,,
"Afternoon workout 💪","May 6, 2026, 5:00 PM","May 6, 2026, 6:23 PM","","Hammer Curl (Dumbbell)",,"",0,"normal",35,8,,,
"Afternoon workout 💪","May 6, 2026, 5:00 PM","May 6, 2026, 6:23 PM","","Hammer Curl (Dumbbell)",,"",1,"normal",35,8,,,
"Afternoon workout 💪","May 6, 2026, 5:00 PM","May 6, 2026, 6:23 PM","","Hammer Curl (Dumbbell)",,"",2,"normal",35,7,,,
"Afternoon workout 💪","May 6, 2026, 5:00 PM","May 6, 2026, 6:23 PM","","Bench Press (Barbell)",,"",0,"normal",135,8,,,
"Afternoon workout 💪","May 6, 2026, 5:00 PM","May 6, 2026, 6:23 PM","","Bench Press (Barbell)",,"",1,"normal",135,9,,,
"Afternoon workout 💪","May 6, 2026, 5:00 PM","May 6, 2026, 6:23 PM","","Bench Press (Barbell)",,"",2,"failure",135,5,,,
"Late night workout 🌙","May 4, 2026, 12:26 AM","May 4, 2026, 12:53 AM","","Pull Up",,"",0,"normal",,12,,,
"Late night workout 🌙","May 4, 2026, 12:26 AM","May 4, 2026, 12:53 AM","","Pull Up",,"",1,"normal",,12,,,
"Late night workout 🌙","May 4, 2026, 12:26 AM","May 4, 2026, 12:53 AM","","Pull Up",,"",2,"failure",,10,,,
"Late night workout 🌙","Apr 29, 2026, 9:12 PM","Apr 29, 2026, 10:10 PM","","Pull Up",,"",0,"normal",,15,,,
"Late night workout 🌙","Apr 29, 2026, 9:12 PM","Apr 29, 2026, 10:10 PM","","Pull Up",,"",1,"failure",,10,,,
"Late night workout 🌙","Apr 29, 2026, 9:12 PM","Apr 29, 2026, 10:10 PM","","Preacher Curl (Dumbbell)",,"",0,"normal",35,9,,,
"Late night workout 🌙","Apr 29, 2026, 9:12 PM","Apr 29, 2026, 10:10 PM","","Preacher Curl (Dumbbell)",,"",1,"failure",35,9,,,
"Late night workout 🌙","Apr 29, 2026, 9:12 PM","Apr 29, 2026, 10:10 PM","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",130,9,,,
"Late night workout 🌙","Apr 29, 2026, 9:12 PM","Apr 29, 2026, 10:10 PM","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",130,9,,,
"Late night workout 🌙","Apr 29, 2026, 9:12 PM","Apr 29, 2026, 10:10 PM","","Lateral Raise (Cable)",,"",0,"normal",17.5,12,,,
"Late night workout 🌙","Apr 29, 2026, 9:12 PM","Apr 29, 2026, 10:10 PM","","Lateral Raise (Cable)",,"",1,"normal",17.5,8,,,
"High CNS Leg","Apr 28, 2026, 1:24 PM","Apr 28, 2026, 2:36 PM","","Box Squat (Barbell)",,"Explosive (smith machine)",0,"normal",235,5,,,
"High CNS Leg","Apr 28, 2026, 1:24 PM","Apr 28, 2026, 2:36 PM","","Box Squat (Barbell)",,"Explosive (smith machine)",1,"normal",245,4,,,
